Population	Stratum	n_SNPs	mean_GC	CI_low	CI_high
AFR	DAF < 5% & DAF>95%	35255869	0.5495996898258568	0.5442227712110296	0.5543542963453431
AMR	DAF < 5% & DAF>95%	35255869	0.5499559955985741	0.544694332677423	0.5553297191764324
EUR	DAF < 5% & DAF>95%	35255869	0.5499546054492369	0.5454911257871683	0.5550607501965394
EAS	DAF < 5% & DAF>95%	35255869	0.550000256361204	0.5451952650883533	0.555052954921624
SAS	DAF < 5% & DAF>95%	35255869	0.5499636820871164	0.5441976530313758	0.555176728488589
AFR	5%<=DAF<=95%	2673086	0.5251568250187236	0.5231214970983222	0.5270472816293634
AMR	5%<=DAF<=95%	2673086	0.5186326369166572	0.5170776412601299	0.5200095309371966
EUR	5%<=DAF<=95%	2673086	0.5185399143222473	0.5170426780711985	0.51991414498589
EAS	5%<=DAF<=95%	2673086	0.5183268323020662	0.5167839619567337	0.5197988629485047
SAS	5%<=DAF<=95%	2673086	0.518718885592906	0.5170251176258519	0.5201724410492593
AFR	All	37928955	0.5478770512845141	0.5429321817841409	0.5534124389547674
AMR	All	37928955	0.5477484464698001	0.5430251327682423	0.5526462816077199
EUR	All	37928955	0.5477406195631023	0.5428039418524966	0.5525600477857718
EAS	All	37928955	0.5477680359790562	0.5430752846962221	0.5529164046917917
SAS	All	37928955	0.5477616697173704	0.5433283992048594	0.5527274231750412
