Population	Bin	Mutation	Mean_DAF	CI_lower	CI_upper	Total_SNPs	N_reps
AFR	rare-low	S>W	0.011871318660433998	0.011836144199524513	0.011905118209046764	4747755	1999
AFR	rare-low	W>S	0.011857080633845185	0.011821344262456237	0.01189171081302505	4765290	1999
AFR	rare-high	S>W	0.9393147549442866	0.9386996327313947	0.939925058086242	47293	1999
AFR	rare-high	W>S	0.9394176783579874	0.9387851762033731	0.9400264741670608	47106	1999
AFR	mid	S>W	0.25049898217615274	0.24997960912085151	0.2510557269351662	1981287	1999
AFR	mid	W>S	0.2500364171884513	0.24948781992796373	0.25059399168291346	1980780	1999
AFR	all	S>W	0.0881039349559106	0.08786699370706606	0.0883516511383908	6776335	1999
AFR	all	W>S	0.08772334560019988	0.08748009671378369	0.0879651032228364	6793176	1999
EUR	rare-low	S>W	0.00555082534965029	0.005527716159325308	0.005575771687293171	4024863	1999
EUR	rare-low	W>S	0.005539798656756019	0.005516217606396109	0.005562408840649876	4033737	1999
EUR	rare-high	S>W	0.994492730384194	0.9942134992131327	0.994771572216452	47690	1999
EUR	rare-high	W>S	0.9945062743712851	0.9942471839534569	0.994757795927031	47655	1999
EUR	mid	S>W	0.31407961040395194	0.3131922873984626	0.31492519004937186	1684558	1999
EUR	mid	W>S	0.3134603612161317	0.31262516982591815	0.31433250245163075	1682313	1999
EUR	all	S>W	0.10389248186729019	0.103580917424766	0.10420574506495003	5757111	1999
EUR	all	W>S	0.10346243549165357	0.1031413094806651	0.10377793401336614	5763705	1999
EAS	rare-low	S>W	0.0045320777383956725	0.004514679135604138	0.004550488286208854	4041187	1999
EAS	rare-low	W>S	0.004534674010487964	0.004516233654744758	0.004552106272404281	4054762	1999
EAS	rare-high	S>W	0.9969668863225042	0.9967744003549606	0.99715941900921	47746	1999
EAS	rare-high	W>S	0.9970333919730091	0.9968418748274842	0.9972267349808452	47835	1999
EAS	mid	S>W	0.34255021062518176	0.3414410065247827	0.34364891435357825	1557016	1999
EAS	mid	W>S	0.3421668514423456	0.34115063802730566	0.3433014176349771	1554688	1999
EAS	all	S>W	0.10588892458623982	0.10555998214000266	0.10622828123517958	5645949	1999
EAS	all	W>S	0.10544530167995447	0.10511700361660013	0.10579137707401504	5657285	1999
