Population	Bin	Mutation	Mean_DAF	CI_lower	CI_upper	Total_SNPs	N_reps
AFR	rare-low	S>W	0.01186643300035541	0.011824041471621765	0.011911156075249932	6094085	1991
AFR	rare-low	W>S	0.011869881049339955	0.011826426411844011	0.01191488725216192	4106776	1991
AFR	rare-high	S>W	0.9388730366598078	0.9381506932990598	0.9395912738435427	61486	1991
AFR	rare-high	W>S	0.9388898126448426	0.9381482935389021	0.9396617557234166	42560	1991
AFR	mid	S>W	0.25046604116982246	0.24977229567918988	0.2512347295278474	2533309	1991
AFR	mid	W>S	0.251751906577483	0.2509900367879017	0.25250657406287996	1718903	1991
AFR	all	S>W	0.08796102557515939	0.08762303484981741	0.08827287362952581	8688880	1991
AFR	all	W>S	0.0888180393138103	0.08845949917913513	0.0891850839514585	5868239	1991
EUR	rare-low	S>W	0.005543593261558161	0.005512785015722058	0.005572460865835868	5174981	1991
EUR	rare-low	W>S	0.005555454544761882	0.005524375708391602	0.005586680954600302	3483468	1991
EUR	rare-high	S>W	0.994363419449397	0.9940443587618145	0.994656663157564	62021	1991
EUR	rare-high	W>S	0.9942560267439947	0.9939181594440745	0.9945702375814378	43055	1991
EUR	mid	S>W	0.31478204789341924	0.3136390705623931	0.31586106200482	2154333	1991
EUR	mid	W>S	0.31558372782585253	0.31446786535458066	0.3167097588452217	1461500	1991
EUR	all	S>W	0.10369089311131789	0.10326861020317464	0.10412118349249587	7391335	1991
EUR	all	W>S	0.10462891630958751	0.10419337840703481	0.10506257719671852	4988023	1991
EAS	rare-low	S>W	0.004556496059175477	0.004534591966784132	0.0045806599272510224	5190744	1991
EAS	rare-low	W>S	0.004557730656565001	0.0045334892189436374	0.004583271910210832	3494307	1991
EAS	rare-high	S>W	0.9966701273308729	0.9964053000775348	0.9969171367470541	62130	1991
EAS	rare-high	W>S	0.9967067698686831	0.9964310764910557	0.9969627221861552	43145	1991
EAS	mid	S>W	0.3446834650955593	0.34334132942356066	0.34602422178591574	1986754	1991
EAS	mid	W>S	0.34545884385471665	0.3440517214992147	0.34688514178125696	1346579	1991
EAS	all	S>W	0.10588361403569721	0.10545076660395294	0.10630130972011835	7239628	1991
EAS	all	W>S	0.10678505654409175	0.10634546433099361	0.10724717624820868	4884031	1991
